zona,nombrePuesto,numeroMesa,votosRodolfo,votosPetro,votosBlanco,votosNulos,votosNoMarcados,votosTotales,recuento
26,SEDE AMOR AL NIÑO,5,36,131,6,3,0,176,no
26,SEDE AMOR AL NIÑO,6,71,124,7,7,1,210,no
26,SEDE AMOR AL NIÑO,7,80,102,6,3,1,192,no









